Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion
Aebi Daniel Erich,SVP,Birmenstorf,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=117121,117121,Bezirk Baden,SVP/EDU
Bally Maya,Die Mitte,Hendschiken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102445,102445,Bezirk Lenzburg,Die Mitte
Basler Colette,SP,Zeihen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=109111,109111,Bezirk Laufenburg,SP
Baumann Thomas,Grüne,Suhr,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887870,4887870,Bezirk Aarau,Grüne
Baur Jürg,Die Mitte,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=109110,109110,Bezirk Brugg,Die Mitte
Berner Yannick,FDP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887871,4887871,Bezirk Aarau,FDP
Bieber Béa,GLP,Rheinfelden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4684063,4684063,Bezirk Rheinfelden,GLP
Binder-Meury Carole,SP,Magden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887872,4887872,Bezirk Rheinfelden,SP
Bircher Adrian,GLP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=110298,110298,Bezirk Aarau,GLP
Bodmer René,SVP,Unterlunkhofen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102380,102380,Bezirk Bremgarten,SVP/EDU
Borer-Mathys Barbara,SVP,Holziken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887873,4887873,Bezirk Kulm,SVP/EDU
Bossert Martin,EDU,Rothrist,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887874,4887874,Bezirk Zofingen,SVP/EDU
Brem-Ingold Rita,Die Mitte,Oberwil-Lieli,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887875,4887875,Bezirk Bremgarten,Die Mitte
Brizzi Simona,SP,Ennetbaden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111042,111042,Bezirk Baden,SP
Brügger Martin,SP,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102381,102381,Bezirk Brugg,SP
Bucher Ralf,Die Mitte,Mühlau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102446,102446,Bezirk Muri,Die Mitte
Büchi Roland,SVP,Wohlen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887876,4887876,Bezirk Bremgarten,SVP/EDU
Budmiger Hans-Peter,GLP,Muri,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887877,4887877,Bezirk Muri,GLP
Burgener Elisabeth,SP,Gipf-Oberfrick,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=67555,67555,Bezirk Laufenburg,SP
Burger Alain,SP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4312304,4312304,Bezirk Baden,SP
Burgherr David,SP,Lengnau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111804,111804,Bezirk Zurzach,SP
Burkard Flurin,SP,Waltenschwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=90326,90326,Bezirk Muri,SP
Capanni Luzia,SP,Windisch,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4888956,4888956,Bezirk Brugg,SP
Dell'Anno-Doppler Regula,SP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4049933,4049933,Bezirk Baden,SP
Dell'Aquila Silvia,SP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4489736,4489736,Bezirk Aarau,SP
Demarmels Carol,SP,Obersiggenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887878,4887878,Bezirk Baden,SP
Dietiker Therese,EVP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116973,116973,Bezirk Aarau,EVP
Dietschi Markus,Grüne,Widen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4067782,4067782,Bezirk Bremgarten,Grüne
Erne Hansjörg,SVP,Leuggern,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=100574,100574,Bezirk Zurzach,SVP/EDU
