Name,Partei,Ort,Link,ID Politiker,Bezirk,Anzahl Vorstösse
Fricker Jonas,Grüne,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4888924,4888924,Bezirk Baden,8
Brizzi Simona,SP,Ennetbaden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111042,111042,Bezirk Baden,8
von Planta Gian,GLP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4169413,4169413,Bezirk Baden,7
Saner Edith,Die Mitte,Birmenstorf,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=117190,117190,Bezirk Baden,7
Fischer-Lamprecht Lutz,EVP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4461297,4461297,Bezirk Baden,4
Notter Daniel,SVP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4235037,4235037,Bezirk Baden,3
Schmidmeister Lea,SP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107115,107115,Bezirk Baden,3
Burger Alain,SP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4312304,4312304,Bezirk Baden,2
Schoop Adrian,FDP,Turgi,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=114892,114892,Bezirk Baden,2
Ramseier Philippe,FDP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887895,4887895,Bezirk Baden,2
Mallien Sander,GLP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102378,102378,Bezirk Baden,2
Wetzel Michael,Die Mitte,Ennetbaden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107573,107573,Bezirk Baden,1
Stichert Norbert,FDP,Untersiggenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4260979,4260979,Bezirk Baden,1
Scherer Werner,SVP,Killwangen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=114890,114890,Bezirk Baden,0
Notter Michael,Die Mitte,Niederrohrdorf,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=115841,115841,Bezirk Baden,0
Aebi Daniel Erich,SVP,Birmenstorf,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=117121,117121,Bezirk Baden,0
Müller Robert Alan,SVP,Freienwil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4489977,4489977,Bezirk Baden,0
Kuster Petra,SVP,Neuenhof,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887891,4887891,Bezirk Baden,0
Kern Knecht Leandra,GLP,Turgi,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887889,4887889,Bezirk Baden,0
Keller Christian,SVP,Untersiggenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887888,4887888,Bezirk Baden,0
Gretener Bruno,FDP,Mellingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102442,102442,Bezirk Baden,0
Gräub Adrian,SVP,Baden,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=5225332,5225332,Bezirk Baden,0
Frei Patrick P.,SVP,Untersiggenthal,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=5187861,5187861,Bezirk Baden,0
Ernst Manuela,GLP,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887879,4887879,Bezirk Baden,0
Kuster Roland,Die Mitte,Wettingen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4069057,4069057,Bezirk Baden,0
