Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion,Anzahl Vorstösse
Baur Jürg,Die Mitte,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=109110,109110,Bezirk Brugg,Die Mitte,9
Brügger Martin,SP,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102381,102381,Bezirk Brugg,SP,8
Lang Markus,GLP,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4888908,4888908,Bezirk Brugg,GLP,7
Meier Titus,FDP,Brugg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=88392,88392,Bezirk Brugg,FDP,6
Frauchiger Roland,EVP,Thalheim,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111293,111293,Bezirk Brugg,EVP,4
Kaufmann Tonja,SVP,Hausen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=109109,109109,Bezirk Brugg,SVP/EDU,4
Capanni Luzia,SP,Windisch,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4888956,4888956,Bezirk Brugg,SP,3
Meier Maya,SVP,Auenstein,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=95815,95815,Bezirk Brugg,SVP/EDU,3
Obrist Robert,Grüne,Schinznach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=112816,112816,Bezirk Brugg,Grüne,1
Wernli Martin,SVP,Thalheim,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=99561,99561,Bezirk Brugg,SVP/EDU,1
