Name,Partei,Ort,Link,ID Politiker,Bezirk,Anzahl Vorstösse
Portmann-Müller Barbara,GLP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87997,87997,Bezirk Lenzburg,7
Bally Maya,Die Mitte,Hendschiken,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102445,102445,Bezirk Lenzburg,5
Lauper Richner Gabi,SP,Niederlenz,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4067921,4067921,Bezirk Lenzburg,3
Jäggi Rolf,SVP,Egliswil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=115112,115112,Bezirk Lenzburg,2
Minder Christian,EVP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=111206,111206,Bezirk Lenzburg,2
Felder Jacqueline,SVP,Boniswil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4562971,4562971,Bezirk Lenzburg,1
Mosimann Daniel,SP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107570,107570,Bezirk Lenzburg,1
Furer Pascal,SVP,Staufen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=69539,69539,Bezirk Lenzburg,0
Häusermann Renate,SVP,Seengen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887884,4887884,Bezirk Lenzburg,0
Kaufmann Maurus,Grüne,Seon,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=3661495,3661495,Bezirk Lenzburg,0
Strub Gérald,FDP,Boniswil,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=107569,107569,Bezirk Lenzburg,0
Vogel Brigitte,SVP,Lenzburg,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887899,4887899,Bezirk Lenzburg,0
